MW,HD,HA,RB,EM,MM,TPSA,HAC,Complexity,CBC,Gap,PT,PCE0,aPCE,bPCE,,
116.11,1,3,4,116.0473441,116.0473441,46.5,8,87.7,1,1.58,2,18.17,21.01,2,2.84,10.1016/j.nanoen.2020.104639
174.04,2,1,0,172.984,172.984,26,8,46.1,2,1.74,2,15.7,16,0,0.3,10.1021/acs.jpcc.1c09739
188.06,2,1,1,186.9996,186.9996,26,9,55.4,2,1.74,2,15.7,17.3,1,1.6,10.1021/acs.jpcc.1c09739
202.09,2,1,2,201.0153,201.0153,26,10,65,2,1.74,2,15.7,16.8,1,1.1,10.1021/acs.jpcc.1c09739
105.14,0,1,1,105.0578492,105.0578492,12.9,8,72.5,1,1.65,1,17.6,19.3,1,1.7,10.1002/solr.201800151
117.15,2,3,4,117.0789786,117.0789786,63.3,8,72.8,1,1.61,2,18,19.44,1,1.44,10.1002/admi.201800645 
76.12,1,2,0,76.0095193,76.0095193,25.8,4,31.3,2,1.61,2,16.01,18.67,2,2.66,10.1002/adfm.201704836
325,0,4,0,326.00326,326.00326,80.3,9,25.5,3,1.61,2,17.25,19.07,1,1.82,10.1002/solr.201800066
255.41,0,4,0,255.931856,255.931856,80.3,9,25.5,3,1.59,2,18.99,19.82,0,0.83,10.1039/C9TC04067F
121.14,0,2,1,121.0527638,121.0527638,30,9,111,1,1.59,3,16.75,20.05,2,3.3,10.1039/C9TA07238A
121.14,0,2,1,121.0527638,121.0527638,30,9,111,1,1.59,3,16.75,18.66,1,1.91,10.1039/C9TA07238A
121.14,0,2,1,121.0527638,121.0527638,30,9,111,1,1.59,3,16.75,18.15,1,1.4,10.1039/C9TA07238A
125.56,5,3,1,125.046823,125.046823,102,7,55,2,1.6,2,19.1,20.3,1,1.2,10.1039/C9QM00112C
139.15,0,3,2,139.0633285,139.0633285,31.4,10,87.6,1,1.61,3,15.53,18.58,2,3.05,10.1039/C7TA04851C
296.31,0,6,13,296.1259883,296.1259883,78.9,21,364,1,1.5,2,18.63,20.26,1,1.63,10.1016/j.nanoen.2019.103962
